Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Gasket Factory,Gasket Final,Gasket Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW02_Northwind Heartland,NW02_MAT-200013,MAT-200013,M14-HNBR GASKET 14,0.664,LATHE_1,T-70642-A,PRJ-EPSILON-0116,P01_NW02_Northwind Heartland,MAT-200013,M14-HNBR GASKET 14,0,1 2026,1164,Gaskets,2026,1,NW02,Both,NW02,Gaskets,MAT-200013,M14-HNBR GASKET 14,256796.0,T-70642-A,LATHE_1,0.664,119799.0,C,Active,SF-100115,APAC-South,S. Iyer,25,2026-07-14,Refrigeration,50437,108168.37,Small,Distributor,M14-HNBR GASKET 14,ROH,A,F,10.0,3.0,21.0,60.0,81.87,139.91,V-74907,SG-34,OPS-M14-HNBR,Y,PC,Lathe cell,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,18.715448717948714,0.7154223516035456,OPS-M14-HNBR,True,0.11919102564102559,RM-COMP-NBR,0.385,KG,RUBBER COMPOUND NBR70,2.0,0.044,0.022,1.067,0.411,Gaskets,Active,M14-HNBR GASKET 14,6792.0,5374.0,4071.0,575.0,2788.0,395.0,276.0,47686.8,19574.62,67261.42,2026.04.03,OPS-M14-HNBR,9185.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200476,MAT-200476,M20-SILI GASKET 37,0.748,GRINDING_1,T-70263-D,PRJ-DELTA-0253,P01_NW05_Northwind Pacific,MAT-200476,M20-SILI GASKET 37,0,1 2026,1340,Gaskets,2026,1,NW05,Both,NW05,Gaskets,MAT-200476,M20-SILI GASKET 37,184666.0,T-70263-D,GRINDING_1,0.748,3885.0,A,Phase-out,SF-100252,EMEA-West,T. Novak,90,2026-07-19,Refrigeration,50848,582309.07,Small,Direct,M20-SILI GASKET 37,ROH,B,E,5.0,6.0,21.0,28.0,17.63,57.7,V-49655,SG-106,OPS-M20-SILI,N,PC,Grinding line,S,8/5,8.0,5.0,27.3,0.8075,1.0,1.0,"Available Capacity, hours",27.300000000000075,13.930705128205126,0.5102822391283915,OPS-M20-SILI,False,0.0829839743589743,RM-COMP-NBR,0.409,KG,RUBBER COMPOUND NBR70,2.0,0.021,0.012,1.0333,0.423,Gaskets,Active,M20-SILI GASKET 37,9537.0,6387.0,8178.0,308.0,2398.0,589.0,412.0,439090.83,110405.77,549496.6,2026.04.03,OPS-M20-SILI,11346.0
Not approved,NW05_Northwind Pacific,NW05_MAT-200476,MAT-200476,M20-SILI GASKET 37,0.748,GRINDING_1,T-70263-D,PRJ-DELTA-0253,P01_NW05_Northwind Pacific,MAT-200476,M20-SILI GASKET 37,0,1 2026,1340,Gaskets,2026,1,NW05,Both,NW05,Gaskets,MAT-200476,M20-SILI GASKET 37,184666.0,T-70263-D,GRINDING_1,0.748,3885.0,A,Phase-out,SF-100252,EMEA-West,T. Novak,90,2026-07-19,Refrigeration,50848,582309.07,Small,Direct,M20-SILI GASKET 37,ROH,B,E,5.0,6.0,21.0,28.0,17.63,57.7,V-49655,SG-106,OPS-M20-SILI,N,PC,Grinding line,S,8/5,8.0,5.0,27.3,0.8075,1.0,1.0,"Available Capacity, hours",27.300000000000075,13.930705128205126,0.5102822391283915,OPS-M20-SILI,False,0.0829839743589743,RM-COMP-FKM,0.477,KG,RUBBER COMPOUND FKM75,8.0,0.021,0.014,1.0353,0.494,Gaskets,Active,M20-SILI GASKET 37,9537.0,6387.0,8178.0,308.0,2398.0,589.0,412.0,439090.83,110405.77,549496.6,2026.04.03,OPS-M20-SILI,11346.0
Not approved,NW02_Northwind Heartland,NW02_MAT-200463,MAT-200463,M22-NBR GASKET 24,0.508,PRESS_3,T-70166-B,PRJ-EPSILON-0664,P01_NW02_Northwind Heartland,MAT-200463,M22-NBR GASKET 24,0,1 2026,4617,Gaskets,2026,1,NW02,Both,NW02,Gaskets,MAT-200463,M22-NBR GASKET 24,163332.0,T-70166-B,PRESS_3,0.508,30507.0,A,Active,SF-100663,APAC-East,A. Meyer,50,2026-11-27,Marine,13678,732467.83,Medium,Partner,M22-NBR GASKET 24,FERT,B,X,10.0,2.0,14.0,60.0,45.37,150.05,V-79560,SG-86,OPS-M22-NBR,N,PC,Press 5500T,M,8/5,8.0,5.0,27.8,0.82,1.0,2.0,"Available Capacity, hours",27.800000000000082,10.903653846153853,0.39221776425013744,OPS-M22-NBR,False,0.15323846153846157,RM-COMP-HNBR,0.411,KG,RUBBER COMPOUND HNBR60,4.0,0.012,0.018,1.0302,0.423,Gaskets,Active,M22-NBR GASKET 24,7511.0,5148.0,2898.0,1498.0,1021.0,577.0,404.0,161138.65,21904.22,183042.87,2026.04.03,OPS-M22-NBR,7955.0
Not approved,NW02_Northwind Heartland,NW02_MAT-200463,MAT-200463,M22-NBR GASKET 24,0.508,PRESS_3,T-70166-B,PRJ-EPSILON-0664,P01_NW02_Northwind Heartland,MAT-200463,M22-NBR GASKET 24,0,1 2026,4617,Gaskets,2026,1,NW02,Both,NW02,Gaskets,MAT-200463,M22-NBR GASKET 24,163332.0,T-70166-B,PRESS_3,0.508,30507.0,A,Active,SF-100663,APAC-East,A. Meyer,50,2026-11-27,Marine,13678,732467.83,Medium,Partner,M22-NBR GASKET 24,FERT,B,X,10.0,2.0,14.0,60.0,45.37,150.05,V-79560,SG-86,OPS-M22-NBR,N,PC,Press 5500T,M,8/5,8.0,5.0,27.8,0.82,1.0,2.0,"Available Capacity, hours",27.800000000000082,10.903653846153853,0.39221776425013744,OPS-M22-NBR,False,0.15323846153846157,RM-COMP-FKM,0.463,KG,RUBBER COMPOUND FKM75,3.0,0.03,0.015,1.0454,0.484,Gaskets,Active,M22-NBR GASKET 24,7511.0,5148.0,2898.0,1498.0,1021.0,577.0,404.0,161138.65,21904.22,183042.87,2026.04.03,OPS-M22-NBR,7955.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-200311,MAT-200311,M22-NBR GASKET 32,0.763,PRES_3_1,T-70418-D,PRJ-OMEGA-0452,P01_NW03_Northwind Carpathia,MAT-200311,M22-NBR GASKET 32,0,1 2026,5764,Gaskets,2026,1,NW03,Both,NW03,Gaskets,MAT-200311,M22-NBR GASKET 32,241813.0,T-70418-D,PRES_3_1,0.763,98651.0,A,Active,SF-100451,EMEA-West,S. Iyer,90,2026-10-27,Marine,31194,1081341.78,Small,Distributor,M22-NBR GASKET 32,FERT,A,E,5.0,8.0,14.0,21.0,117.16,66.31,V-86681,SG-94,OPS-M22-NBR,N,PC,Press 3300T,S,12/6,12.0,6.0,45.72,0.76,1.5,1.0,"Available Capacity, hours",45.720000000000056,22.746666666666673,0.49752114319043406,OPS-M22-NBR,False,0.03647564102564101,RM-COMP-FKM,0.397,KG,RUBBER COMPOUND FKM75,4.0,0.031,0.019,1.0506,0.417,Gaskets,Active,M22-NBR GASKET 32,1108.0,646.0,704.0,130.0,3269.0,833.0,583.0,42439.49,125211.83,167651.32,2026.04.03,OPS-M22-NBR,3544.0
Not approved,NW03_Northwind Carpathia,NW03_MAT-200311,MAT-200311,M22-NBR GASKET 32,0.763,PRES_3_1,T-70418-D,PRJ-OMEGA-0452,P01_NW03_Northwind Carpathia,MAT-200311,M22-NBR GASKET 32,0,1 2026,5764,Gaskets,2026,1,NW03,Both,NW03,Gaskets,MAT-200311,M22-NBR GASKET 32,241813.0,T-70418-D,PRES_3_1,0.763,98651.0,A,Active,SF-100451,EMEA-West,S. Iyer,90,2026-10-27,Marine,31194,1081341.78,Small,Distributor,M22-NBR GASKET 32,FERT,A,E,5.0,8.0,14.0,21.0,117.16,66.31,V-86681,SG-94,OPS-M22-NBR,N,PC,Press 3300T,S,12/6,12.0,6.0,45.72,0.76,1.5,1.0,"Available Capacity, hours",45.720000000000056,22.746666666666673,0.49752114319043406,OPS-M22-NBR,False,0.03647564102564101,RM-COMP-NBR,0.334,KG,RUBBER COMPOUND NBR70,3.0,0.057,0.021,1.0792,0.36,Gaskets,Active,M22-NBR GASKET 32,1108.0,646.0,704.0,130.0,3269.0,833.0,583.0,42439.49,125211.83,167651.32,2026.04.03,OPS-M22-NBR,3544.0
Not approved,NW04_Northwind Southbay,NW04_MAT-200511,MAT-200511,M22-NBR GASKET 32,0.668,PRESS_2,T-70441-A,PRJ-BETA-0384,P01_NW04_Northwind Southbay,MAT-200511,M22-NBR GASKET 32,0,1 2026,4769,Gaskets,2026,1,NW04,Both,NW04,Gaskets,MAT-200511,M22-NBR GASKET 32,86065.0,T-70441-A,PRESS_2,0.668,133426.0,A,Active,SF-100383,LATAM,A. Meyer,75,2026-09-24,District Heating,14976,177151.36,Large,Distributor,M22-NBR GASKET 32,ROH,C,E,5.0,4.0,21.0,45.0,94.55,95.52,V-39368,SG-18,OPS-M22-NBR,N,PC,Press 5500T,M,12/6,12.0,6.0,48.0,0.75,1.0,2.0,"Available Capacity, hours",48.0,35.907051282051285,0.7480635683760685,OPS-M22-NBR,True,0.15115448717948718,RM-COMP-HNBR,0.411,KG,RUBBER COMPOUND HNBR60,6.0,0.056,0.02,1.0771,0.443,Gaskets,Active,M22-NBR GASKET 32,828.0,483.0,300.0,162.0,894.0,543.0,380.0,28396.16,30659.62,59055.78,2026.04.03,OPS-M22-NBR,1179.0
Not approved,NW04_Northwind Southbay,NW04_MAT-200511,MAT-200511,M22-NBR GASKET 32,0.668,PRESS_2,T-70441-A,PRJ-BETA-0384,P01_NW04_Northwind Southbay,MAT-200511,M22-NBR GASKET 32,0,1 2026,4769,Gaskets,2026,1,NW04,Both,NW04,Gaskets,MAT-200511,M22-NBR GASKET 32,86065.0,T-70441-A,PRESS_2,0.668,133426.0,A,Active,SF-100383,LATAM,A. Meyer,75,2026-09-24,District Heating,14976,177151.36,Large,Distributor,M22-NBR GASKET 32,ROH,C,E,5.0,4.0,21.0,45.0,94.55,95.52,V-39368,SG-18,OPS-M22-NBR,N,PC,Press 5500T,M,12/6,12.0,6.0,48.0,0.75,1.0,2.0,"Available Capacity, hours",48.0,35.907051282051285,0.7480635683760685,OPS-M22-NBR,True,0.15115448717948718,RM-COMP-AFLAS,0.448,KG,RUBBER COMPOUND AFLAS,8.0,0.037,0.006,1.0432,0.467,Gaskets,Active,M22-NBR GASKET 32,828.0,483.0,300.0,162.0,894.0,543.0,380.0,28396.16,30659.62,59055.78,2026.04.03,OPS-M22-NBR,1179.0
Not approved,NW14_Northwind Oceania,NW14_MAT-200071,MAT-200071,M22-NBR GASKET 32,0.548,GRINDING_1,T-70357-D,PRJ-OMEGA-0584,P01_NW14_Northwind Oceania,MAT-200071,M22-NBR GASKET 32,0,1 2026,2310,Gaskets,2026,1,NW14,Both,NW14,Gaskets,MAT-200071,M22-NBR GASKET 32,80261.0,T-70357-D,GRINDING_1,0.548,255428.0,B,Active,SF-100583,,M. Silva,75,2026-02-28,Food & Beverage,48693,1011556.74,Strategic,Distributor,M22-NBR GASKET 32,HALB,A,E,21.0,4.0,7.0,35.0,16.7,215.62,V-25913,SG-111,OPS-M22-NBR,Y,PC,Grinding line,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,20.398333333333312,0.7797528032619785,OPS-M22-NBR,True,0.11105897435897435,RM-COMP-NBR,0.339,KG,RUBBER COMPOUND NBR70,6.0,0.06,0.006,1.0664,0.362,Gaskets,Active,M22-NBR GASKET 32,1406.0,1279.0,751.0,262.0,2916.0,236.0,165.0,34447.25,71442.51,105889.76,2026.04.03,OPS-M22-NBR,4086.0
