Status,Connector RCCP pivot,Connector Plant_Material nr,Material number,Material Description,Cycle time,Work center,Tool number,Project_name,Plate Factory,Plate Final,Plate Description,All delayed,demand_month,demand_pcs,product_type,demand_year,demand_month_num,pipeline_plant,factory_production_type,Plant_2_6,Type_2_6,Sap code_2_6,Material description_2_6,Total QTY_2_6,Tool No._2_6,Work center_2_6,Cycle times Standard Value (Machine)_2_6,OPS plan GD_2_6,Rev no_2_6,Material Status_2_6,Project ID,Region,Owner,Probability,Requested delivery date,Customer segment,Total expected PCS,Total expected EUR,Revenue tier,Submission channel,Description_2_3,Material Type_2_3,ABC (SAP)_2_3,Procurement Type_2_3,In House Production Time (WD)_2_3,Production LT Weeks_2_3,Transportation Lanes Lead Time (CD)_2_3,Planned Delivery Time (MARC) (CD)_2_3,Standard Cost in EUR_2_3,Avg Sales Price in EUR_2_3,G37 - Vendor_2_3,P45 - Supply Group_2_3,P55 - Operations Group_2_3,Is Network Material_2_3,Base Unit of Measure_2_3,WC-Description long_2_5,Size_2_5,Weekly Schedule_2_5,Hours_2_5,Days_2_5,Weekly available time_2_5,OEE (in %)_2_5,Daily breaks (in H)_2_5,NR of stands per WC_2_5,AP Limit_2_5,cap_avg_available_hrs_per_week,cap_avg_load_hrs_per_week,cap_utilization_pct,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP,ops_avg_planned_pcs_per_week,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Total Scrap Factor,Effective Component Quantity,Comp Plate/Gasket,BOM Status,Header Description,Stock Qty_3_1,ATP Quantity_3_1,ATP Qty (allow negative)_3_1,Reserved Stock Qty_3_1,Stock in Transit Qty_3_1,Safety Stock Qty_3_1,Minimum Safety Stock Qty_3_1,Stock Value (EUR)_3_1,Stock in Transit Value (EUR)_3_1,Total Stock Value (EUR)_3_1,Calendar day_3_1,Operation Group_3_1,inv_usable_qty_3_1
Not approved,NW14_Northwind Oceania,NW14_MAT-100636,MAT-100636,S62/PL.37 304TL 0.5mm,1.157,GRINDING_1,T-70580-A,PRJ-DELTA-0433,P01_NW14_Northwind Oceania,MAT-100636,S62/PL.37 304TL 0.5mm,0,1 2026,4210,Plates,2026,1,NW14,Both,NW14,Plates,MAT-100636,S62/PL.37 304TL 0.5mm,251792.0,T-70580-A,GRINDING_1,1.157,209559.0,B,Active,SF-100432,LATAM,M. Akiyama,75,2026-03-15,District Heating,38254,78256.46,Small,Partner,S62/PL.37 304TL 0.5mm,ROH,A,X,7.0,4.0,21.0,45.0,78.95,141.31,V-25996,SG-32,OPS-S62,N,PC,Grinding line,S,8/5,8.0,5.0,26.16,0.7789999999999999,1.0,1.0,"Available Capacity, hours",26.159999999999943,20.398333333333312,0.7797528032619785,OPS-S62,False,0.09751282051282055,RM-COIL-SS304,6.986,KG,COIL SS304 1250mm 0.4mm,8.0,0.053,0.008,1.0614,7.415,Plates,Active,S62/PL.37 304TL 0.5mm,2354.0,1847.0,930.0,207.0,1930.0,951.0,666.0,115952.74,95067.46,211020.2,2026.04.03,OPS-S62,3333.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100924,MAT-100924,S62/PL.25 304TL 0.3mm,1.319,PRESS_2,T-70224-B,PRJ-DELTA-0634,P01_NW12_Northwind Cerrado,MAT-100924,S62/PL.25 304TL 0.3mm,0,1 2026,4352,Plates,2026,1,NW12,Both,NW12,Plates,MAT-100924,S62/PL.25 304TL 0.3mm,139588.0,T-70224-B,PRESS_2,1.319,284840.0,C,Active,SF-100633,LATAM,P. Kovac,75,2026-12-10,Marine,3601,749473.3,Medium,Distributor,S62/PL.25 304TL 0.3mm,FERT,B,E,5.0,3.0,30.0,60.0,20.24,15.59,V-51620,SG-73,OPS-S62,N,PC,Press 5500T,M,8/5,8.0,5.0,24.6,0.74,1.0,2.0,"Available Capacity, hours",24.599999999999937,13.208782051282059,0.5369423598082151,OPS-S62,False,0.03811153846153848,RM-COIL-TI,5.453,KG,COIL TITANIUM 1200mm 0.4mm,2.0,0.021,0.021,1.0424,5.684,Plates,Active,S62/PL.25 304TL 0.3mm,9271.0,7127.0,3124.0,685.0,3094.0,1063.0,744.0,441802.28,147442.16,589244.43,2026.04.03,OPS-S62,11302.0
Not approved,NW08_Northwind Iberia,NW08_MAT-100252,MAT-100252,S62/PL.03 304TL 0.4mm,0.942,ASSY_1,T-70233-C,PRJ-EPSILON-0419,P01_NW08_Northwind Iberia,MAT-100252,S62/PL.03 304TL 0.4mm,0,1 2026,3996,Plates,2026,1,NW08,Both,NW08,Plates,MAT-100252,S62/PL.03 304TL 0.4mm,202984.0,T-70233-C,ASSY_1,0.942,273851.0,C,Active,SF-100418,APAC-East,M. Akiyama,50,2026-11-26,Refrigeration,56739,1110805.46,Small,Distributor,S62/PL.03 304TL 0.4mm,FERT,B,E,10.0,2.0,7.0,21.0,95.64,22.97,V-88213,SG-100,OPS-S62,Y,PC,Assembly cell,S,8/5,8.0,5.0,25.4,0.76,1.0,1.0,"Available Capacity, hours",25.400000000000063,15.660384615384618,0.6165505754088417,OPS-S62,False,0.06824743589743587,RM-COIL-TI,5.154,KG,COIL TITANIUM 1200mm 0.4mm,4.0,0.048,0.01,1.0585,5.456,Plates,Active,S62/PL.03 304TL 0.4mm,10155.0,9309.0,9005.0,175.0,2334.0,456.0,319.0,201775.4,46375.56,248150.96,2026.04.03,OPS-S62,12033.0
Not approved,NW13_Northwind Andes,NW13_MAT-101255,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,1.473,PRESS_2,T-70369-D,PRJ-DELTA-0039,P01_NW13_Northwind Andes,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,0,1 2026,7469,Plates,2026,1,NW13,Both,NW13,Plates,MAT-101255,PRO-12X/PL.06 304TL 0.3mm,235985.0,T-70369-D,PRESS_2,1.473,124043.0,C,Active,SF-100038,APAC-East,C. Moreau,10,2026-07-10,Pharma,33648,406263.6,Small,Direct,PRO-12X/PL.06 304TL 0.3mm,HALB,A,F,5.0,2.0,30.0,45.0,93.39,156.11,V-11127,SG-14,OPS-PRO-12X,Y,PC,Press 5500T,M,8/5,8.0,5.0,25.4,0.76,1.0,2.0,"Available Capacity, hours",25.400000000000063,17.902307692307698,0.7048152634766793,OPS-PRO-12X,True,0.06003141025641026,RM-COIL-HC276,8.391,KG,COIL HASTELLOY C276 1250mm 0.5mm,6.0,0.031,0.01,1.0413,8.738,Plates,Active,PRO-12X/PL.06 304TL 0.3mm,773.0,526.0,322.0,60.0,1073.0,1137.0,796.0,35081.43,48696.47,83777.9,2026.04.03,OPS-PRO-12X,709.0
Not approved,NW07_Northwind West Coast,NW07_MAT-101305,MAT-101305,MX200/PL.06 304TL 0.6mm,1.213,EXTRUSION_1,T-70267-A,PRJ-ALPHA-0174,P01_NW07_Northwind West Coast,MAT-101305,MX200/PL.06 304TL 0.6mm,0,1 2026,2986,Plates,2026,1,NW07,Both,NW07,Plates,MAT-101305,MX200/PL.06 304TL 0.6mm,16302.0,T-70267-A,EXTRUSION_1,1.213,301173.0,C,Active,SF-100173,APAC-South,K. Suzuki,50,2026-04-04,Industrial,25549,381830.05,Medium,Direct,MX200/PL.06 304TL 0.6mm,ROH,B,F,14.0,4.0,7.0,45.0,38.2,183.95,V-19252,SG-116,OPS-MX200,Y,PC,Extrusion line A,M,8/5,8.0,5.0,26.54,0.7885,1.0,2.0,"Available Capacity, hours",26.53999999999997,12.33237179487179,0.4646711301760288,OPS-MX200,False,0.1567083333333334,RM-COIL-NI,5.111,KG,COIL NICKEL 1200mm 0.35mm,3.0,0.037,0.029,1.0671,5.454,Plates,Active,MX200/PL.06 304TL 0.6mm,3968.0,2031.0,2839.0,278.0,3107.0,697.0,488.0,54749.27,42869.45,97618.72,2026.04.03,OPS-MX200,6378.0
Not approved,NW07_Northwind West Coast,NW07_MAT-101305,MAT-101305,MX200/PL.06 304TL 0.6mm,1.213,EXTRUSION_1,T-70267-A,PRJ-ALPHA-0174,P01_NW07_Northwind West Coast,MAT-101305,MX200/PL.06 304TL 0.6mm,0,1 2026,2986,Plates,2026,1,NW07,Both,NW07,Plates,MAT-101305,MX200/PL.06 304TL 0.6mm,16302.0,T-70267-A,EXTRUSION_1,1.213,301173.0,C,Active,SF-100173,APAC-South,K. Suzuki,50,2026-04-04,Industrial,25549,381830.05,Medium,Direct,MX200/PL.06 304TL 0.6mm,ROH,B,F,14.0,4.0,7.0,45.0,38.2,183.95,V-19252,SG-116,OPS-MX200,Y,PC,Extrusion line A,M,8/5,8.0,5.0,26.54,0.7885,1.0,2.0,"Available Capacity, hours",26.53999999999997,12.33237179487179,0.4646711301760288,OPS-MX200,False,0.1567083333333334,RM-COIL-SS304,5.625,KG,COIL SS304 1250mm 0.4mm,8.0,0.021,0.023,1.0445,5.875,Plates,Active,MX200/PL.06 304TL 0.6mm,3968.0,2031.0,2839.0,278.0,3107.0,697.0,488.0,54749.27,42869.45,97618.72,2026.04.03,OPS-MX200,6378.0
Not approved,NW05_Northwind Pacific,NW05_MAT-100329,MAT-100329,XL520/PL.30 304TL 0.6mm,2.188,PRESS_6,T-70202-C,PRJ-OMEGA-0297,P01_NW05_Northwind Pacific,MAT-100329,XL520/PL.30 304TL 0.6mm,0,1 2026,4201,Plates,2026,1,NW05,Both,NW05,Plates,MAT-100329,XL520/PL.30 304TL 0.6mm,49366.0,T-70202-C,PRESS_6,2.188,3609.0,A,Active,SF-100296,EMEA-East,P. Kovac,25,2026-02-26,Industrial,31058,457506.81,Strategic,Distributor,XL520/PL.30 304TL 0.6mm,HALB,B,X,7.0,3.0,30.0,45.0,59.47,90.88,V-49824,SG-65,OPS-XL520,Y,PC,Press 13900T,L,24/5,24.0,5.0,92.0,0.85,2.0,3.0,"Available Capacity, hours",92.0,39.214615384615406,0.42624581939799355,OPS-XL520,False,0.0883525641025641,RM-COIL-TI,8.201,KG,COIL TITANIUM 1200mm 0.4mm,6.0,0.022,0.022,1.0445,8.566,Plates,Active,XL520/PL.30 304TL 0.6mm,6159.0,3356.0,5310.0,447.0,2176.0,84.0,59.0,50998.0,18017.8,69015.81,2026.04.03,OPS-XL520,8251.0
Not approved,NW12_Northwind Cerrado,NW12_MAT-100806,MAT-100806,S140/PL.07 304TL 0.5mm,1.32,PRESS_2,T-70267-A,PRJ-OMEGA-0161,P01_NW12_Northwind Cerrado,MAT-100806,S140/PL.07 304TL 0.5mm,0,1 2026,4468,Plates,2026,1,NW12,Both,NW12,Plates,MAT-100806,S140/PL.07 304TL 0.5mm,123693.0,T-70267-A,PRESS_2,1.32,27109.0,A,Active,SF-100160,APAC-East,P. Kovac,90,2026-12-15,Oil & Gas,39495,330486.85,Strategic,Distributor,S140/PL.07 304TL 0.5mm,ROH,A,X,5.0,4.0,30.0,28.0,64.38,101.55,V-33153,SG-55,OPS-S140,Y,PC,Press 5500T,M,8/5,8.0,5.0,24.6,0.74,1.0,2.0,"Available Capacity, hours",24.599999999999937,13.208782051282059,0.5369423598082151,OPS-S140,False,0.08183141025641023,RM-COIL-SS304,5.725,KG,COIL SS304 1250mm 0.4mm,2.0,0.02,0.007,1.0271,5.88,Plates,Active,S140/PL.07 304TL 0.5mm,7150.0,6595.0,3056.0,1108.0,1996.0,1006.0,704.0,89923.97,25103.25,115027.22,2026.04.03,OPS-S140,8140.0
Not approved,NW11_Northwind Levant,NW11_MAT-101486,MAT-101486,MX250/PL.37 304TL 0.5mm,1.34,PRESS_2,T-70554-B,PRJ-BETA-0213,P01_NW11_Northwind Levant,MAT-101486,MX250/PL.37 304TL 0.5mm,0,1 2026,1031,Plates,2026,1,NW11,Both,NW11,Plates,MAT-101486,MX250/PL.37 304TL 0.5mm,159519.0,T-70554-B,PRESS_2,1.34,72512.0,A,Active,SF-100212,EMEA-West,L. Tran,10,2026-10-12,Oil & Gas,38503,1035841.64,Small,OEM,MX250/PL.37 304TL 0.5mm,ROH,B,E,7.0,3.0,30.0,21.0,17.8,94.42,V-28854,SG-94,OPS-MX250,Y,PC,Press 5500T,M,12/6,12.0,6.0,43.56,0.73,1.5,2.0,"Available Capacity, hours",43.56000000000013,34.518525641025654,0.7924363094817619,OPS-MX250,False,0.055632692307692314,RM-COIL-HC276,8.764,KG,COIL HASTELLOY C276 1250mm 0.5mm,4.0,0.025,0.023,1.0486,9.19,Plates,Active,MX250/PL.37 304TL 0.5mm,5621.0,4681.0,1692.0,563.0,2444.0,1196.0,837.0,160525.87,69796.34,230322.21,2026.04.03,OPS-MX250,6869.0
Not approved,NW13_Northwind Andes,NW13_MAT-100923,MAT-100923,HT80/PL.24 304TL 0.4mm,1.427,PRESS_4,T-70406-B,PRJ-OMEGA-0339,P01_NW13_Northwind Andes,MAT-100923,HT80/PL.24 304TL 0.4mm,0,1 2026,804,Plates,2026,1,NW13,Both,NW13,Plates,MAT-100923,HT80/PL.24 304TL 0.4mm,1578.0,T-70406-B,PRESS_4,1.427,48239.0,A,Active,SF-100338,EMEA-West,K. Suzuki,25,2026-12-15,Food & Beverage,28802,276511.91,Medium,Direct,HT80/PL.24 304TL 0.4mm,ROH,C,E,14.0,3.0,21.0,35.0,93.24,18.82,V-39761,SG-19,OPS-HT80,N,PC,Press 13900T,L,24/5,24.0,5.0,81.2,0.76,2.0,3.0,"Available Capacity, hours",81.20000000000017,38.726089743589746,0.4769222874826313,OPS-HT80,False,0.025091025641025635,RM-COIL-SS316,13.9,KG,COIL SS316 1250mm 0.5mm,8.0,0.047,0.008,1.0554,14.67,Plates,Active,HT80/PL.24 304TL 0.4mm,3178.0,2952.0,2583.0,364.0,403.0,1132.0,792.0,131123.66,16627.7,147751.36,2026.04.03,OPS-HT80,2449.0
