P80 - Plant Material: Plant without system,P80 - Plant Material: Code,P80 - Plant Material: Pure Material,P80 - Plant Material: Material Description,P80 - Plant Material: Operations Group,P80 - Plant Material: Mixed MRP
NW01,P01_NW01_MAT-100000,MAT-100000,S62/PL.01 304TL 0.5mm,OPS-S62,False
NW01,P01_NW01_MAT-100003,MAT-100003,S160/PL.04 304TL 0.4mm,OPS-S160,True
NW01,P01_NW01_MAT-100004,MAT-100004,XL420/PL.05 304TL 0.5mm,OPS-XL420,True
NW01,P01_NW01_MAT-100007,MAT-100007,PRO-12X/PL.08 304TL 0.4mm,OPS-PRO-12X,True
NW01,P01_NW01_MAT-100008,MAT-100008,MX100/PL.09 304TL 0.7mm,OPS-MX100,True
NW01,P01_NW01_MAT-100016,MAT-100016,XL420/PL.17 304TL 0.5mm,OPS-XL420,True
NW01,P01_NW01_MAT-100019,MAT-100019,PRO-12X/PL.20 304TL 0.4mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100022,MAT-100022,MX250/PL.23 304TL 0.3mm,OPS-MX250,True
NW01,P01_NW01_MAT-100038,MAT-100038,S140/PL.39 304TL 0.8mm,OPS-S140,True
NW01,P01_NW01_MAT-100051,MAT-100051,S160/PL.02 304TL 0.4mm,OPS-S160,False
NW01,P01_NW01_MAT-100061,MAT-100061,S120/PL.12 304TL 0.5mm,OPS-S120,False
NW01,P01_NW01_MAT-100063,MAT-100063,S160/PL.14 304TL 0.3mm,OPS-S160,False
NW01,P01_NW01_MAT-100064,MAT-100064,XL420/PL.15 304TL 0.8mm,OPS-XL420,True
NW01,P01_NW01_MAT-100067,MAT-100067,PRO-12X/PL.18 304TL 0.8mm,OPS-PRO-12X,False
NW01,P01_NW01_MAT-100070,MAT-100070,MX250/PL.21 304TL 0.3mm,OPS-MX250,False
NW01,P01_NW01_MAT-100073,MAT-100073,S120/PL.24 304TL 0.5mm,OPS-S120,True
NW01,P01_NW01_MAT-100075,MAT-100075,S160/PL.26 304TL 0.3mm,OPS-S160,False
