Sap code,Description,Old Material Number,Base Unit of Measure,Material Type,ABC (SAP),Procurement Type,In House Production Time (WD),Production LT Weeks,Transportation Lanes Lead Time (CD),Planned Delivery Time (MARC) (CD),Standard Cost in EUR,Avg Sales Price in EUR,G35 - Plant,G37 - Vendor,P45 - Supply Group,P55 - Operations Group,Is Network Material,BOM Material,BOM Header,BOM Component
MAT-100000,S62/PL.01 304TL 0.5mm,OLD-100000,PC,ROH,B,X,21,2,7,21,14.25,172.5,NW01,V-60555,SG-32,OPS-S62,Y,MAT-100000,BH-3748,BC-5617
MAT-100003,S160/PL.04 304TL 0.4mm,OLD-100003,PC,ROH,A,X,5,3,7,60,40.82,153.12,NW01,V-50076,SG-56,OPS-S160,N,MAT-100003,BH-2843,BC-2506
MAT-100004,XL420/PL.05 304TL 0.5mm,OLD-100004,PC,ROH,C,F,7,3,21,45,41.6,51.39,NW01,V-19097,SG-17,OPS-XL420,N,MAT-100004,BH-2908,BC-5958
MAT-100007,PRO-12X/PL.08 304TL 0.4mm,OLD-100007,PC,FERT,C,X,7,3,7,60,77.07,27.11,NW01,V-92913,SG-13,OPS-PRO-12X,Y,MAT-100007,BH-3864,BC-7907
MAT-100008,MX100/PL.09 304TL 0.7mm,OLD-100008,PC,ROH,A,F,21,2,21,35,51.32,72.01,NW01,V-63817,SG-113,OPS-MX100,N,MAT-100008,BH-5484,BC-6767
MAT-100016,XL420/PL.17 304TL 0.5mm,OLD-100016,PC,HALB,B,F,5,3,21,35,109.74,90.15,NW01,V-55950,SG-103,OPS-XL420,N,MAT-100016,BH-3446,BC-8629
MAT-100019,PRO-12X/PL.20 304TL 0.4mm,OLD-100019,PC,HALB,B,E,5,8,14,28,5.07,82.52,NW01,V-21277,SG-97,OPS-PRO-12X,Y,MAT-100019,BH-4095,BC-9517
MAT-100022,MX250/PL.23 304TL 0.3mm,OLD-100022,PC,FERT,B,E,10,8,7,60,101.55,61.29,NW01,V-75103,SG-59,OPS-MX250,Y,MAT-100022,BH-5855,BC-8051
MAT-100038,S140/PL.39 304TL 0.8mm,OLD-100038,PC,ROH,B,F,5,2,7,14,21.38,149.47,NW01,V-28246,SG-19,OPS-S140,Y,MAT-100038,BH-9357,BC-6698
MAT-100051,S160/PL.02 304TL 0.4mm,OLD-100051,PC,ROH,C,X,7,8,21,35,11.22,174.67,NW01,V-27269,SG-79,OPS-S160,Y,MAT-100051,BH-7466,BC-4278
