Attribute
Day Number
Day of Week (ISO)
Day Name
Week Number
Week Number Weekly
Week Start Date
Month Number
Month Number Weekly {Corrected}
Month Name
Quarter
Year
Fiscal Year
Fiscal Period
Weekend Flag
Business Day Flag
Half Year
Days in Month
Days in Year
""
Working Days NW01
Working Days NW02
Working Days NW03
Working Days NW04
Working Days NW05
Working Days NW06
Working Days NW07
Working Days NW08
Working Days NW09
Working Days NW10
Working Days NW11
Working Days NW12
Working Days NW13
Working Days NW14
Working Days NW15
Working Hours NW01
Working Hours NW02
Working Hours NW03
Working Hours NW04
Working Hours NW05
Working Hours NW06
Working Hours NW07
Working Hours NW08
Working Hours NW09
Working Hours NW10
Working Hours NW11
Working Hours NW12
Working Hours NW13
Working Hours NW14
Working Hours NW15
Holiday Flag NW01
Holiday Flag NW02
Holiday Flag NW03
Holiday Flag NW04
Holiday Flag NW05
Holiday Flag NW06
Holiday Flag NW07
Holiday Flag NW08
Holiday Flag NW09
Holiday Flag NW10
Holiday Flag NW11
Holiday Flag NW12
Holiday Flag NW13
Holiday Flag NW14
Holiday Flag NW15
