WC Schedule Label,Plant,Plant name,Size,WC-Group,WC-Description,WC-Description long,Weekly Schedule,Hours,Days,AP Limit,Weekly available time,Suggested % Limit,AP Limit (in %),AP Limit time (in H),OEE (in %),Daily breaks (in H),NR of stands per WC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NW01_PRESS_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,PRESS_1,Press 3300T,12/5,12,5,Downside Limit 2 (hrs),21.5,0.5,0.5,21.5,0.8,1.0,1,88.25,89.6,91.77,88.28,95.36,93.67,91.91,89.92,92.81,94.63,89.0,88.59
NW01_PRESS_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,PRESS_1,Press 3300T,12/5,12,5,Downside Limit 1 (hrs),30.1,0.7,0.7,30.1,0.8,1.0,1,133.35,129.86,130.5,123.84,133.87,126.58,127.7,129.3,123.28,135.77,126.74,126.77
NW01_PRESS_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,PRESS_1,Press 3300T,12/5,12,5,"Available Capacity, hours",43.0,1.0,1.0,43.0,0.8,1.0,1,188.45,193.3,188.38,190.52,183.39,189.25,180.33,176.68,192.77,190.5,177.22,177.83
NW01_PRESS_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,PRESS_1,Press 3300T,12/5,12,5,Upside Limit 1 (hrs),55.9,1.3,1.3,55.9,0.8,1.0,1,233.6,242.69,245.73,236.48,249.48,248.18,228.69,248.47,235.55,231.9,250.44,244.11
NW01_PRESS_1 12/5 (12H/5D),NW01,Northwind Midwest,S,,PRESS_1,Press 3300T,12/5,12,5,Upside Limit 2 (hrs),68.8,1.6,1.6,68.8,0.8,1.0,1,297.12,309.3,281.53,287.53,289.12,307.35,300.04,301.11,291.12,289.12,308.1,292.16
NW01_PRESS_2 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_2,Press 5500T,12/5,12,5,Downside Limit 2 (hrs),21.5,0.5,0.5,21.5,0.8,1.0,2,96.66,95.95,96.57,93.33,93.75,91.18,96.29,93.34,90.29,91.1,96.29,89.64
NW01_PRESS_2 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_2,Press 5500T,12/5,12,5,Downside Limit 1 (hrs),30.1,0.7,0.7,30.1,0.8,1.0,2,132.74,125.78,130.74,129.29,132.19,128.04,134.06,131.49,132.96,134.81,134.85,132.26
NW01_PRESS_2 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_2,Press 5500T,12/5,12,5,"Available Capacity, hours",43.0,1.0,1.0,43.0,0.8,1.0,2,189.31,186.27,179.84,192.48,176.56,185.07,183.96,183.66,188.74,193.76,177.28,190.78
NW01_PRESS_2 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_2,Press 5500T,12/5,12,5,Upside Limit 1 (hrs),55.9,1.3,1.3,55.9,0.8,1.0,2,235.11,243.5,242.14,239.29,241.64,247.21,228.68,237.02,248.66,241.17,251.44,249.45
NW01_PRESS_2 12/5 (12H/5D),NW01,Northwind Midwest,M,,PRESS_2,Press 5500T,12/5,12,5,Upside Limit 2 (hrs),68.8,1.6,1.6,68.8,0.8,1.0,2,303.02,288.91,306.03,289.14,303.72,297.57,307.95,305.85,306.17,292.02,304.65,282.48
