Connector,Plant,Type,Sap code,Material description,Total QTY,Tool No.,Work center,Group,Cycle times Standard Value (Machine),OPS plan GD,Rev no,Material Status
NW01_MAT-100000,NW01,Plates,MAT-100000,S62/PL.01 304TL 0.5mm,108894,T-70280-B,PRESS_5,N/54839650,1.44,117277,D,Active
NW01_MAT-100003,NW01,Plates,MAT-100003,S160/PL.04 304TL 0.4mm,15566,T-70017-B,PRESS_4,N/51224371,1.358,61565,B,Active
NW01_MAT-100004,NW01,Plates,MAT-100004,XL420/PL.05 304TL 0.5mm,34828,T-70689-C,PRESS_6,N/59502608,1.778,142479,B,Phase-out
NW01_MAT-100007,NW01,Plates,MAT-100007,PRO-12X/PL.08 304TL 0.4mm,110253,T-70597-B,EXTRUSION_1,N/54236020,1.896,158727,A,Active
NW01_MAT-100008,NW01,Plates,MAT-100008,MX100/PL.09 304TL 0.7mm,89774,T-70377-B,PRESS_1,N/56836978,0.905,21654,C,Phase-out
NW01_MAT-100016,NW01,Plates,MAT-100016,XL420/PL.17 304TL 0.5mm,131574,T-70692-A,PRESS_5,N/59871037,1.875,167415,A,Phase-out
NW01_MAT-100019,NW01,Plates,MAT-100019,PRO-12X/PL.20 304TL 0.4mm,148620,T-70127-C,PRESS_5,N/55276909,1.43,300402,A,Active
NW01_MAT-100022,NW01,Plates,MAT-100022,MX250/PL.23 304TL 0.3mm,232736,T-70539-D,PRESS_2,N/54593957,1.422,22449,A,Active
NW01_MAT-100038,NW01,Plates,MAT-100038,S140/PL.39 304TL 0.8mm,138015,T-70591-C,PRESS_4,N/54660183,1.64,19604,C,Active
NW01_MAT-100051,NW01,Plates,MAT-100051,S160/PL.02 304TL 0.4mm,152446,T-70039-B,ASSY_1,N/59585697,1.591,14764,B,Phase-out
NW01_MAT-100061,NW01,Plates,MAT-100061,S120/PL.12 304TL 0.5mm,42821,T-70205-B,PRESS_6,N/57501648,1.307,262195,B,Active
NW01_MAT-100063,NW01,Plates,MAT-100063,S160/PL.14 304TL 0.3mm,184100,T-70649-D,GRINDING_1,N/50178208,1.177,136313,C,Active
NW01_MAT-100064,NW01,Plates,MAT-100064,XL420/PL.15 304TL 0.8mm,94315,T-70540-C,PRESS_5,N/56875604,2.342,136281,A,Active
NW01_MAT-100067,NW01,Plates,MAT-100067,PRO-12X/PL.18 304TL 0.8mm,26591,T-70662-A,PRESS_6,N/50839354,1.699,319597,B,Active
NW01_MAT-100070,NW01,Plates,MAT-100070,MX250/PL.21 304TL 0.3mm,12189,T-70256-A,PRESS_1,N/53899442,1.446,170840,B,Phase-out
NW01_MAT-100073,NW01,Plates,MAT-100073,S120/PL.24 304TL 0.5mm,230965,T-70366-B,ASSY_1,N/50275798,1.084,140882,B,Active
NW01_MAT-100075,NW01,Plates,MAT-100075,S160/PL.26 304TL 0.3mm,237782,T-70627-A,PRESS_2,N/52825926,1.406,103990,B,Active
NW01_MAT-100078,NW01,Plates,MAT-100078,PRO-9X/PL.29 304TL 0.8mm,17156,T-70470-C,PRESS_6,N/53574804,1.215,253834,B,Active
NW01_MAT-100083,NW01,Plates,MAT-100083,HT80/PL.34 304TL 0.7mm,101530,T-70187-C,PRESS_5,N/55568404,1.698,170884,B,Active
NW01_MAT-100084,NW01,Plates,MAT-100084,S62/PL.35 304TL 0.6mm,132198,T-70186-D,PRESS_5,N/56266193,1.367,51268,A,Active
NW01_MAT-100090,NW01,Plates,MAT-100090,PRO-9X/PL.41 304TL 0.8mm,133886,T-70553-C,PRESS_6,N/50346030,1.289,260977,C,Active
NW01_MAT-100098,NW01,Plates,MAT-100098,S140/PL.49 304TL 0.6mm,206074,T-70649-D,ASSY_1,N/50701428,1.435,196824,C,Active
NW01_MAT-100114,NW01,Plates,MAT-100114,PRO-9X/PL.15 304TL 0.7mm,200277,T-70357-D,GRINDING_1,N/57935906,1.457,306992,B,Active
