Source system ID,Plant (code),Plant (name),Calendar day,Operation Group,Material Unique (code),Material Unique (name),Stock Qty,ATP Quantity,ATP Qty (allow negative),Reserved Stock Qty,Stock in Transit Qty,Safety Stock Qty,Minimum Safety Stock Qty,Stock Value (EUR),ATP Stock Value (EUR),Reserved Stock Value (EUR),Safety Stock Value (EUR),Stock in Transit Value (EUR),Total Stock Value (EUR)
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100000,S62/PL.01 304TL 0.5mm,612,550,401,48,2794,788,552,21785.52,19606.97,1901.44,28050.63,99458.72,121244.23
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100003,S160/PL.04 304TL 0.4mm,1143,906,468,160,1736,1048,734,29189.41,26270.47,2416.55,26763.35,44333.18,73522.59
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100004,XL420/PL.05 304TL 0.5mm,5038,2975,2920,573,569,320,224,291797.99,262618.2,38567.72,18534.21,32956.15,324754.14
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100007,PRO-12X/PL.08 304TL 0.4mm,11975,9755,5781,1681,1058,147,103,56568.77,50911.9,4470.29,694.41,4997.89,61566.67
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100008,MX100/PL.09 304TL 0.7mm,7702,6146,3887,1461,334,714,500,256509.21,230858.29,48878.17,23779.22,11123.61,267632.83
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100016,XL420/PL.17 304TL 0.5mm,8312,4206,3488,981,1189,466,326,97936.06,88142.45,9140.39,5490.64,14009.38,111945.44
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100019,PRO-12X/PL.20 304TL 0.4mm,8823,5174,4947,1446,3156,1055,738,500251.13,450226.01,72216.71,59816.95,178940.56,679191.69
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100022,MX250/PL.23 304TL 0.3mm,10021,8312,3450,1963,1183,363,254,581900.09,523710.08,37148.72,21078.71,68694.52,650594.61
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100038,S140/PL.39 304TL 0.8mm,8530,7039,2732,87,1824,496,347,463610.0,417249.0,60087.07,26957.86,99135.36,562745.36
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100051,S160/PL.02 304TL 0.4mm,6829,4457,5776,1103,3126,644,451,45404.57,40864.11,4900.63,4281.82,20784.11,66188.68
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100061,S120/PL.12 304TL 0.5mm,5128,2861,1951,335,2484,104,73,189402.36,170462.12,32474.72,3841.23,91746.38,281148.74
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100063,S160/PL.14 304TL 0.3mm,10687,6070,5446,181,1042,896,627,472328.94,425096.05,31483.74,39600.14,46052.85,518381.79
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100064,XL420/PL.15 304TL 0.8mm,48,36,27,7,881,1053,737,2010.76,1809.68,329.57,44111.05,36905.83,38916.59
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100067,PRO-12X/PL.18 304TL 0.8mm,9667,5216,7675,353,2727,541,379,162916.66,146624.99,18348.06,9117.4,45957.77,208874.42
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100070,MX250/PL.21 304TL 0.3mm,6653,6061,4340,843,312,1034,724,83514.27,75162.84,14616.88,12979.67,3916.5,87430.76
P01,NW01,Northwind Midwest,2026.04.03,OPS-S120,MAT-100073,S120/PL.24 304TL 0.5mm,1634,964,865,320,1754,489,342,25272.59,22745.33,3688.99,7563.22,27128.59,52401.18
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100075,S160/PL.26 304TL 0.3mm,9727,5734,7415,675,908,664,465,471335.25,424201.73,37594.17,32175.04,43998.4,515333.65
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100078,PRO-9X/PL.29 304TL 0.8mm,4996,2888,2744,320,1527,426,298,170949.96,153854.97,33211.2,14576.6,52249.92,223199.88
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100083,HT80/PL.34 304TL 0.7mm,9697,6702,6595,630,2568,1160,812,283077.9,254770.11,15322.57,33863.09,74965.87,358043.76
P01,NW01,Northwind Midwest,2026.04.03,OPS-S62,MAT-100084,S62/PL.35 304TL 0.6mm,348,324,215,45,266,504,353,10848.86,9763.97,1717.25,15712.14,8292.52,19141.38
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100090,PRO-9X/PL.41 304TL 0.8mm,1553,1231,540,203,330,991,694,68472.89,61625.6,13188.44,43693.9,14549.94,83022.83
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100098,S140/PL.49 304TL 0.6mm,5060,4223,4456,797,2454,913,639,226586.86,203928.18,41573.63,40884.15,109890.15,336477.01
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100114,PRO-9X/PL.15 304TL 0.7mm,6305,5059,2502,1152,2701,135,94,112384.25,101145.82,9950.27,2406.32,48144.31,160528.55
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100119,HT80/PL.20 304TL 0.4mm,2836,2254,1924,124,3343,406,284,54169.62,48752.66,7815.57,7754.89,63853.68,118023.3
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100123,S160/PL.24 304TL 0.4mm,9543,5585,4971,1487,2441,1182,827,140689.49,126620.54,17646.7,17425.86,35986.91,176676.39
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100126,PRO-9X/PL.27 304TL 0.5mm,6890,6102,2216,560,864,755,528,377667.97,339901.17,69799.46,41384.52,47359.23,425027.2
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX250,MAT-100130,MX250/PL.31 304TL 0.7mm,8572,6357,3257,1345,2169,1185,830,406472.95,365825.65,57244.97,56191.14,102851.12,509324.07
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100131,HT80/PL.32 304TL 0.4mm,6320,5460,2406,944,1837,107,75,106333.95,95700.56,18947.54,1800.27,30907.51,137241.46
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100134,S140/PL.35 304TL 0.6mm,2555,1698,881,32,1468,554,388,80317.7,72285.93,10974.68,17415.27,46147.31,126465.01
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX100,MAT-100140,MX100/PL.41 304TL 0.5mm,3903,3633,1607,642,200,93,65,13708.8,12337.92,1798.4,326.65,702.47,14411.27
P01,NW01,Northwind Midwest,2026.04.03,OPS-MX200,MAT-100141,MX200/PL.42 304TL 0.3mm,9273,6817,4994,554,1054,167,117,283978.78,255580.9,53334.37,5114.25,32277.97,316256.75
P01,NW01,Northwind Midwest,2026.04.03,OPS-S140,MAT-100146,S140/PL.47 304TL 0.4mm,343,216,143,44,3207,1071,750,15747.08,14172.37,1551.11,49169.46,147232.91,162979.99
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100147,S160/PL.48 304TL 0.7mm,9140,7528,7132,160,1743,1155,808,425007.92,382507.13,77741.28,53707.24,81049.1,506057.03
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-9X,MAT-100150,PRO-9X/PL.01 304TL 0.5mm,9060,7266,3414,1726,414,96,67,496625.52,446962.97,55926.4,5262.26,22693.48,519319.01
P01,NW01,Northwind Midwest,2026.04.03,OPS-S160,MAT-100159,S160/PL.10 304TL 0.6mm,8543,5346,4515,897,3086,637,446,61065.25,54958.73,3313.99,4553.27,22058.69,83123.94
P01,NW01,Northwind Midwest,2026.04.03,OPS-XL420,MAT-100160,XL420/PL.11 304TL 0.7mm,10689,6815,9349,403,1255,246,172,276736.65,249062.98,47218.36,6368.9,32491.77,309228.41
P01,NW01,Northwind Midwest,2026.04.03,OPS-PRO-12X,MAT-100163,PRO-12X/PL.14 304TL 0.6mm,680,464,437,133,2572,414,290,28387.1,25548.39,2295.05,17282.74,107370.05,135757.15
P01,NW01,Northwind Midwest,2026.04.03,OPS-HT80,MAT-100179,HT80/PL.30 304TL 0.3mm,9340,8405,3596,1278,2360,798,559,367486.01,330737.41,43504.31,31397.63,92855.14,460341.15
