Header Material,Component Material,Header Material code,Component Material code,Component Quantity,Component BUoM,Component Description,Production LT in Weeks,Component Scrap (perc),Assembly Scrap (perc),Component Scrap Factor,Assembly Scrap Factor,Total Scrap Factor,Effective Component Quantity,Plant,Header OPS Group,Component OPS Group,Comp Plate/Gasket,Header Description,Version,Usage,BOM Status
P01_NW01_MAT-100000,P01_NW01_RM-COIL-NI,MAT-100000,RM-COIL-NI,6.04,KG,COIL NICKEL 1200mm 0.35mm,3,0.016,0.009,1.016,1.009,1.0251,6.192,P01_NW01_Northwind Midwest,OPS-S62,RM-COIL,Plates,S62/PL.01 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100003,P01_NW01_RM-COIL-SS316,MAT-100003,RM-COIL-SS316,8.303,KG,COIL SS316 1250mm 0.5mm,3,0.028,0.02,1.028,1.02,1.0486,8.707,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.04 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100004,P01_NW01_RM-COIL-HC276,MAT-100004,RM-COIL-HC276,15.372,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.01,0.026,1.01,1.026,1.0363,15.93,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.05 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100007,P01_NW01_RM-COIL-TI,MAT-100007,RM-COIL-TI,6.643,KG,COIL TITANIUM 1200mm 0.4mm,6,0.036,0.01,1.036,1.01,1.0464,6.951,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.08 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100008,P01_NW01_RM-COIL-HC276,MAT-100008,RM-COIL-HC276,7.027,KG,COIL HASTELLOY C276 1250mm 0.5mm,4,0.022,0.027,1.022,1.027,1.0496,7.376,P01_NW01_Northwind Midwest,OPS-MX100,RM-COIL,Plates,MX100/PL.09 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100016,P01_NW01_RM-COIL-NI,MAT-100016,RM-COIL-NI,11.943,KG,COIL NICKEL 1200mm 0.35mm,6,0.02,0.019,1.02,1.019,1.0394,12.414,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.17 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100019,P01_NW01_RM-COIL-SS316,MAT-100019,RM-COIL-SS316,8.519,KG,COIL SS316 1250mm 0.5mm,8,0.051,0.006,1.051,1.006,1.0573,9.007,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.20 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100022,P01_NW01_RM-COIL-SS304,MAT-100022,RM-COIL-SS304,5.775,KG,COIL SS304 1250mm 0.4mm,4,0.028,0.028,1.028,1.028,1.0568,6.103,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.23 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100022,P01_NW01_RM-COIL-TI,MAT-100022,RM-COIL-TI,4.7,KG,COIL TITANIUM 1200mm 0.4mm,8,0.045,0.006,1.045,1.006,1.0513,4.941,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.23 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100038,P01_NW01_RM-COIL-NI,MAT-100038,RM-COIL-NI,6.571,KG,COIL NICKEL 1200mm 0.35mm,8,0.056,0.015,1.056,1.015,1.0718,7.043,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.39 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100051,P01_NW01_RM-COIL-TI,MAT-100051,RM-COIL-TI,5.216,KG,COIL TITANIUM 1200mm 0.4mm,3,0.013,0.006,1.013,1.006,1.0191,5.316,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.02 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100061,P01_NW01_RM-COIL-HC276,MAT-100061,RM-COIL-HC276,8.826,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.017,0.02,1.017,1.02,1.0373,9.155,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.12 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100063,P01_NW01_RM-COIL-TI,MAT-100063,RM-COIL-TI,5.609,KG,COIL TITANIUM 1200mm 0.4mm,3,0.019,0.013,1.019,1.013,1.0322,5.79,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.14 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100064,P01_NW01_RM-COIL-TI,MAT-100064,RM-COIL-TI,11.156,KG,COIL TITANIUM 1200mm 0.4mm,8,0.052,0.007,1.052,1.007,1.0594,11.819,P01_NW01_Northwind Midwest,OPS-XL420,RM-COIL,Plates,XL420/PL.15 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100067,P01_NW01_RM-COIL-AL,MAT-100067,RM-COIL-AL,5.909,KG,COIL ALUMINUM 1300mm 0.6mm,8,0.035,0.016,1.035,1.016,1.0516,6.214,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.18 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100067,P01_NW01_RM-COIL-SS304,MAT-100067,RM-COIL-SS304,8.607,KG,COIL SS304 1250mm 0.4mm,3,0.038,0.017,1.038,1.017,1.0556,9.086,P01_NW01_Northwind Midwest,OPS-PRO-12X,RM-COIL,Plates,PRO-12X/PL.18 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100070,P01_NW01_RM-COIL-HC276,MAT-100070,RM-COIL-HC276,6.699,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.039,0.018,1.039,1.018,1.0577,7.086,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.21 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100073,P01_NW01_RM-COIL-SS304,MAT-100073,RM-COIL-SS304,7.03,KG,COIL SS304 1250mm 0.4mm,2,0.048,0.025,1.048,1.025,1.0742,7.552,P01_NW01_Northwind Midwest,OPS-S120,RM-COIL,Plates,S120/PL.24 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100075,P01_NW01_RM-COIL-TI,MAT-100075,RM-COIL-TI,4.98,KG,COIL TITANIUM 1200mm 0.4mm,6,0.059,0.008,1.059,1.008,1.0675,5.316,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.26 304TL 0.3mm,1,1,Active
P01_NW01_MAT-100078,P01_NW01_RM-COIL-AL,MAT-100078,RM-COIL-AL,6.918,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.03,0.017,1.03,1.017,1.0475,7.247,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.29 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100083,P01_NW01_RM-COIL-HC276,MAT-100083,RM-COIL-HC276,15.68,KG,COIL HASTELLOY C276 1250mm 0.5mm,3,0.028,0.02,1.028,1.02,1.0486,16.442,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.34 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100084,P01_NW01_RM-COIL-TI,MAT-100084,RM-COIL-TI,4.923,KG,COIL TITANIUM 1200mm 0.4mm,3,0.036,0.019,1.036,1.019,1.0557,5.197,P01_NW01_Northwind Midwest,OPS-S62,RM-COIL,Plates,S62/PL.35 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100090,P01_NW01_RM-COIL-SS304,MAT-100090,RM-COIL-SS304,9.814,KG,COIL SS304 1250mm 0.4mm,4,0.042,0.02,1.042,1.02,1.0628,10.43,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.41 304TL 0.8mm,1,1,Active
P01_NW01_MAT-100098,P01_NW01_RM-COIL-AL,MAT-100098,RM-COIL-AL,4.513,KG,COIL ALUMINUM 1300mm 0.6mm,6,0.027,0.02,1.027,1.02,1.0475,4.727,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.49 304TL 0.6mm,1,1,Active
P01_NW01_MAT-100114,P01_NW01_RM-COIL-NI,MAT-100114,RM-COIL-NI,8.5,KG,COIL NICKEL 1200mm 0.35mm,4,0.03,0.025,1.03,1.025,1.0557,8.973,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.15 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100119,P01_NW01_RM-COIL-SS304,MAT-100119,RM-COIL-SS304,11.074,KG,COIL SS304 1250mm 0.4mm,3,0.039,0.015,1.039,1.015,1.0546,11.679,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.20 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100123,P01_NW01_RM-COIL-TI,MAT-100123,RM-COIL-TI,5.502,KG,COIL TITANIUM 1200mm 0.4mm,6,0.047,0.021,1.047,1.021,1.069,5.882,P01_NW01_Northwind Midwest,OPS-S160,RM-COIL,Plates,S160/PL.24 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100126,P01_NW01_RM-COIL-TI,MAT-100126,RM-COIL-TI,6.09,KG,COIL TITANIUM 1200mm 0.4mm,4,0.021,0.024,1.021,1.024,1.0455,6.367,P01_NW01_Northwind Midwest,OPS-PRO-9X,RM-COIL,Plates,PRO-9X/PL.27 304TL 0.5mm,1,1,Active
P01_NW01_MAT-100130,P01_NW01_RM-COIL-HC276,MAT-100130,RM-COIL-HC276,7.654,KG,COIL HASTELLOY C276 1250mm 0.5mm,8,0.046,0.018,1.046,1.018,1.0648,8.15,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.31 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100130,P01_NW01_RM-COIL-SS316,MAT-100130,RM-COIL-SS316,7.359,KG,COIL SS316 1250mm 0.5mm,3,0.059,0.006,1.059,1.006,1.0654,7.84,P01_NW01_Northwind Midwest,OPS-MX250,RM-COIL,Plates,MX250/PL.31 304TL 0.7mm,1,1,Active
P01_NW01_MAT-100131,P01_NW01_RM-COIL-SS316,MAT-100131,RM-COIL-SS316,12.138,KG,COIL SS316 1250mm 0.5mm,8,0.014,0.017,1.014,1.017,1.0312,12.517,P01_NW01_Northwind Midwest,OPS-HT80,RM-COIL,Plates,HT80/PL.32 304TL 0.4mm,1,1,Active
P01_NW01_MAT-100134,P01_NW01_RM-COIL-TI,MAT-100134,RM-COIL-TI,5.222,KG,COIL TITANIUM 1200mm 0.4mm,4,0.023,0.029,1.023,1.029,1.0527,5.497,P01_NW01_Northwind Midwest,OPS-S140,RM-COIL,Plates,S140/PL.35 304TL 0.6mm,1,1,Active
